,گروه کالا1,گروه کالا2,support,ضریب اطمینان,lift
167,"['200051.0', '200050.0']",['200068.0'],0.010869565217391304,1.0,11.5
168,"['200050.0', '200068.0']",['200051.0'],0.010869565217391304,0.5,23.0
169,"['200051.0', '200068.0']",['200050.0'],0.010869565217391304,1.0,15.333333333333334
170,['200050.0'],"['200057.0', '200066.0']",0.010869565217391304,0.16666666666666666,15.333333333333332
171,['200057.0'],"['200050.0', '200066.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
172,['200066.0'],"['200057.0', '200050.0']",0.010869565217391304,0.5,46.0
173,"['200057.0', '200050.0']",['200066.0'],0.010869565217391304,1.0,46.0
174,"['200050.0', '200066.0']",['200057.0'],0.010869565217391304,1.0,30.666666666666668
175,"['200057.0', '200066.0']",['200050.0'],0.010869565217391304,1.0,15.333333333333334
176,['200050.0'],"['200057.0', '200068.0']",0.010869565217391304,0.16666666666666666,15.333333333333332
177,['200057.0'],"['200050.0', '200068.0']",0.010869565217391304,0.3333333333333333,15.333333333333332
178,['200068.0'],"['200057.0', '200050.0']",0.010869565217391304,0.125,11.5
179,"['200057.0', '200050.0']",['200068.0'],0.010869565217391304,1.0,11.5
180,"['200050.0', '200068.0']",['200057.0'],0.010869565217391304,0.5,15.333333333333334
181,"['200057.0', '200068.0']",['200050.0'],0.010869565217391304,1.0,15.333333333333334
182,['200050.0'],"['200058.0', '200063.0']",0.010869565217391304,0.16666666666666666,7.666666666666666
183,['200058.0'],"['200050.0', '200063.0']",0.010869565217391304,0.1111111111111111,10.222222222222221
184,['200063.0'],"['200050.0', '200058.0']",0.010869565217391304,0.125,11.5
185,"['200050.0', '200058.0']",['200063.0'],0.010869565217391304,1.0,11.5
186,"['200050.0', '200063.0']",['200058.0'],0.010869565217391304,1.0,10.222222222222221
187,"['200058.0', '200063.0']",['200050.0'],0.010869565217391304,0.5,7.666666666666667
188,['200050.0'],"['200066.0', '200068.0']",0.010869565217391304,0.16666666666666666,15.333333333333332
189,['200066.0'],"['200050.0', '200068.0']",0.010869565217391304,0.5,23.0
190,['200068.0'],"['200050.0', '200066.0']",0.010869565217391304,0.125,11.5
191,"['200050.0', '200066.0']",['200068.0'],0.010869565217391304,1.0,11.5
192,"['200050.0', '200068.0']",['200066.0'],0.010869565217391304,0.5,23.0
193,"['200066.0', '200068.0']",['200050.0'],0.010869565217391304,1.0,15.333333333333334
194,['200051.0'],"['200057.0', '200066.0']",0.010869565217391304,0.5,46.0
195,['200057.0'],"['200051.0', '200066.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
196,['200066.0'],"['200057.0', '200051.0']",0.010869565217391304,0.5,46.0
197,"['200057.0', '200051.0']",['200066.0'],0.010869565217391304,1.0,46.0
198,"['200051.0', '200066.0']",['200057.0'],0.010869565217391304,1.0,30.666666666666668
199,"['200057.0', '200066.0']",['200051.0'],0.010869565217391304,1.0,46.0
200,['200051.0'],"['200057.0', '200068.0']",0.010869565217391304,0.5,46.0
201,['200057.0'],"['200051.0', '200068.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
202,['200068.0'],"['200057.0', '200051.0']",0.010869565217391304,0.125,11.5
203,"['200057.0', '200051.0']",['200068.0'],0.010869565217391304,1.0,11.5
204,"['200051.0', '200068.0']",['200057.0'],0.010869565217391304,1.0,30.666666666666668
205,"['200057.0', '200068.0']",['200051.0'],0.010869565217391304,1.0,46.0
206,['200051.0'],"['200066.0', '200068.0']",0.010869565217391304,0.5,46.0
207,['200066.0'],"['200051.0', '200068.0']",0.010869565217391304,0.5,46.0
208,['200068.0'],"['200051.0', '200066.0']",0.010869565217391304,0.125,11.5
209,"['200051.0', '200066.0']",['200068.0'],0.010869565217391304,1.0,11.5
210,"['200051.0', '200068.0']",['200066.0'],0.010869565217391304,1.0,46.0
211,"['200066.0', '200068.0']",['200051.0'],0.010869565217391304,1.0,46.0
212,['200052.0'],"['200057.0', '200053.0']",0.010869565217391304,0.5,46.0
213,['200053.0'],"['200057.0', '200052.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
214,['200057.0'],"['200053.0', '200052.0']",0.010869565217391304,0.3333333333333333,15.333333333333332
215,"['200053.0', '200052.0']",['200057.0'],0.010869565217391304,0.5,15.333333333333334
216,"['200057.0', '200052.0']",['200053.0'],0.010869565217391304,1.0,30.666666666666668
