,date,value,flag,MA5,MA20
270,1/9/2019,1242375187,past,1292579995,1279578384
271,1/10/2019,2060041656,past,1457363565,1300274110
272,1/11/2019,8100000,past,1118822543,1204309560
273,1/12/2019,1412406297,past,1169842949,1274904875
274,1/13/2019,1385144770,past,1221613582,1288615245
275,1/14/2019,1467950535,past,1266728652,1302014733
276,1/15/2019,1071474220,past,1069015164,1289756148
277,1/16/2019,1157526708,past,1298900506,1293593007
278,1/17/2019,1751057718,past,1366630790,1321209916
279,1/18/2019,69960000,past,1103593836,1237366597
280,1/19/2019,1189847201,past,1047973169,1240207447
281,1/20/2019,1926866297,past,1219051585,1259922478
282,1/21/2019,1081777212,past,1203901686,1260869381
283,1/22/2019,1102031122,past,1074096366,1257726914
284,1/23/2019,1647638012,past,1389631969,1264869565
285,1/24/2019,1495118506,past,1450686230,1264492011
286,1/25/2019,70220000,past,1079356970,1206196821
287,1/26/2019,1313782682,past,1125758064,1186845700
288,1/27/2019,1611406800,past,1227633200,1209550827
289,1/28/2019,1218456111,past,1141796820,1214159052
290,1/29/2019,1072095777,past,1057192274,1205645081
291,1/30/2019,1623764940,past,1367901262,1183831245
292,1/31/2019,1726520852,past,1450448896,1269752288
293,2/1/2019,158150000,past,1159797536,1207039473
294,2/2/2019,1318872163,past,1179880746,1203725843
295,2/3/2019,1975357630,past,1360533117,1229096198
296,2/4/2019,1188062648,past,1273392659,1234925619
297,2/5/2019,1065427058,past,1141173900,1230320636
298,2/6/2019,1553552096,past,1420254319,1220445355
299,2/7/2019,2045348892,past,1565549665,1319214800
300,2/8/2019,3850000,past,1171248139,1259914940
301,2/9/2019,1206799161,past,1174995441,1223911583
302,2/10/2019,1250894208,past,1212088871,1232367433
303,2/11/2019,1047445032,past,1110867459,1229638128
304,2/12/2019,1533154555,past,1008428591,1223913956
305,2/13/2019,1453409824,past,1298340556,1221828521
306,2/14/2019,1903330715,past,1437646867,1313484057
307,2/15/2019,95000000,past,1206468025,1252544923
308,2/16/2019,1477552128,past,1292489444,1245852190
309,2/17/2019,1652802432,past,1316419020,1267569506
310,2/18/2019,1161469968,past,1258031049,1272038215
311,2/19/2019,1669008452,past,1211166596,1274300391
312,2/20/2019,1313896541,past,1454945904,1253669175
313,2/21/2019,1324738895,past,1424383258,1311998620
314,2/22/2019,1440000,past,1094110771,1246127012
315,2/23/2019,1492344884,past,1160285754,1221976374
316,2/24/2019,1689182411,past,1164320546,1247032363
317,2/25/2019,1572442990,past,1216029836,1272383159
318,2/26/2019,1602031998,past,1271488457,1274807154
319,2/27/2019,1578204442,past,1586841345,1251449932
320,2/28/2019,1690745368,past,1626521442,1335794700
321,3/1/2019,210000,past,1288726960,1275465242
322,3/2/2019,1601239443,past,1294486250,1292982504
323,3/3/2019,1944276498,past,1362935150,1337824077
324,3/4/2019,1474637064,past,1342221675,1334898203
325,3/5/2019,1296922386,past,1263457078,1327073831
326,3/6/2019,2236202665,past,1710655611,1343717428
327,3/7/2019,1404240199,past,1671255762,1409179438
328,3/9/2019,1325200331,past,1547440529,1401561848
329,3/10/2019,1483128710,past,1549138858,1393078162
330,3/11/2019,1508334328,past,1591421247,1410421380
331,3/12/2019,1035385465,past,1351257807,1378740231
332,3/13/2019,1274406697,past,1325291106,1376765739
333,3/14/2019,1764839385,past,1413218917,1398770763
334,3/15/2019,165235000,past,1149640175,1406960513
335,3/16/2019,2074528705,past,1262879050,1436069704
336,3/17/2019,2481852881,past,1552172534,1475703228
337,3/18/2019,2651236957,past,1827538586,1529642926
338,3/19/2019,3354385761,past,2145447861,1617260614
339,3/20/2019,93980000,past,2131196861,1543049392
340,3/22/2019,140870000,past,1744465120,1465555624
341,3/23/2019,95420000,past,1267178544,1470316124
342,3/24/2019,54080000,past,747747152.2,1392958152
343,3/25/2019,684372498,past,213744499.6,1329962952
344,3/26/2019,950318889,past,385012277.4,1303747043
345,3/27/2019,1038398162,past,564517909.8,1290820832
346,3/28/2019,1171654722,past,779764854.2,1237593435
347,3/29/2019,3715000,past,769691854.2,1167567175
348,3/30/2019,982471385,past,829311631.6,1150430727
349,3/31/2019,1101754234,past,859598700.6,1131362003
350,4/1/2019,689973944,past,789913857,1090443984
351,4/3/2019,843081329,past,724199178.4,1080828777
352,4/4/2019,1125962754,past,948648729.2,1073406580
353,4/6/2019,1402636441,past,1032681740,1055296433
354,4/7/2019,1680113279,past,1148353549,1131040347
355,4/8/2019,1315361667,past,1273431094,1093081995
356,4/9/2019,1103918465,past,1325598521,1024185274
357,4/10/2019,1485502702,past,1397506511,965898561.6
358,4/11/2019,1343466508,past,1385672524,865352599
359,4/12/2019,124750000,past,1074599868,866891099
360,4/13/2019,1055011550,past,1022529845,912598176.5
361,4/14/2019,1317310665,past,1065208285,973692709.7
362,4/15/2019,1440033968,past,1056114538,1042990408
363,4/16/2019,1122209662,past,1011863169,1064882266
364,4/17/2019,1420125441,past,1270938257,1088372594
365,4/18/2019,1632728825,past,1386481712,1118089127
366,4/19/2019,140600000,past,1151139579,1066536391
367,4/20/2019,2011713654,past,1265475516,1166936324
368,4/21/2019,1123120662,past,1265657716,1173968788
369,4/22/2019,1036472222,past,1188927073,1170704687
370,4/23/2019,1275604711,past,1117502250,1199986225
371,4/24/2019,1451714322,past,1379725114,1230417875
372,4/25/2019,1848966707,past,1347175725,1266568073
373,4/27/2019,1599790781,past,1442509749,1276425790
374,4/28/2019,1273753278,past,1489965960,1256107790
375,4/29/2019,1288025536,past,1492450125,1254740983
376,4/30/2019,1280802513,past,1458267763,1263585185
377,5/1/2019,1614458608,past,1411366143,1270032981
378,5/2/2019,1888708213,past,1469149630,1297295066
379,5/4/2019,1588254995,past,1532049973,1370470316
380,5/5/2019,1519992498,past,1578443365,1393719363
381,5/6/2019,1329893718,past,1588261606,1394348516
382,5/7/2019,1291905444,past,1523750974,1386942090
383,5/8/2019,1133157223,past,1372640776,1387489468
384,5/9/2019,1152185909,past,1285426958,1374092491
385,5/10/2019,56650000,past,992758458.8,1295288550
386,5/11/2019,1255937887,past,977967292.6,1351055444
387,5/12/2019,979646442,past,915515492.2,1299452083
388,5/13/2019,916584943,past,872201036.2,1289125298
389,5/14/2019,740220554,past,789807965.2,1274312714
390,5/15/2019,1195951666,past,1017668298,1270330062
391,5/16/2019,990247077,past,964530136.4,1247256700
392,5/17/2019,167170000,past,802034848,1163166864
393,5/18/2019,1211033663,past,860924592,1143729008
394,5/19/2019,970300274,past,906940536,1128556358
395,5/20/2019,1034987722,past,874747747.2,1115904467
396,5/21/2019,948693885,past,866437108.8,1099299036
397,5/22/2019,1302602193,past,1093523547,1083706215
398,5/23/2019,1229229149,past,1097162645,1050732262
399,5/24/2019,334020000,past,969906589.8,988020512.4
400,5/25/2019,1485187885,past,1059946622,986280281.7
401,5/26/2019,1382363887,past,1146680623,988903790.2
402,5/27/2019,1150000,past,886390184.2,924366018
403,5/28/2019,1106541941,past,861852742.6,923035253.9
404,5/29/2019,1202271666,past,1035503076,925539541.7
405,5/30/2019,1183468085,past,975159115.8,981880446
406,6/1/2019,1104029441,past,919492226.6,974285023.7
407,6/2/2019,1357293527,past,1190720932,993167377.9
408,6/3/2019,1599873384,past,1289387221,1027331800
409,6/4/2019,1700699488,past,1389072785,1075355747
410,6/5/2019,1366417493,past,1425662667,1083879038
411,6/6/2019,66580000,past,1218172778,1037695684
412,6/8/2019,1756360935,past,1297986260,1117155231
413,6/9/2019,2394965833,past,1457004750,1176351839
414,6/10/2019,1577577070,past,1432380266,1206715679
415,6/11/2019,1132365956,past,1385569959,1211584591
416,6/12/2019,1748711164,past,1721996192,1251585455
417,6/13/2019,2117653327,past,1794254670,1292338012
418,6/15/2019,1485457339,past,1612352971,1305149421
419,6/16/2019,1621007777,past,1621039113,1369498810
420,6/17/2019,1290429233,past,1652651768,1359760877
421,6/18/2019,1598741776,past,1622657890,1370579772
422,6/19/2019,1411281995,past,1481383624,1441086372
423,6/20/2019,1652649608,past,1514822078,1468391755
424,6/22/2019,1310081443,past,1452636811,1473782244
425,6/23/2019,1449993268,past,1484549618,1487108503
426,6/24/2019,1784874163,past,1521776095,1521150739
427,6/25/2019,1302898331,past,1500099363,1518430979
428,6/26/2019,1558637498,past,1481296941,1516369185
429,6/27/2019,2224134994,past,1664107651,1542540960
430,6/28/2019,45180000,past,1383144997,1476479086
431,6/29/2019,1198007108,past,1265771586,1533050441
432,6/30/2019,1396099939,past,1284411908,1515037391
433,7/1/2019,1382747776,past,1249233963,1464426488
434,7/2/2019,1587091941,past,1121825353,1464902232
435,7/3/2019,1501651389,past,1413119631,1483366503
436,7/4/2019,2302800812,past,1634078371,1511070986
437,7/6/2019,1472167662,past,1649291916,1478796703
438,7/7/2019,1728388051,past,1718419971,1490943238
439,7/8/2019,1588895497,past,1718780682,1489337624
440,7/9/2019,1819941277,past,1782438660,1515813226
441,7/10/2019,1830819718,past,1688042441,1527417124
442,7/11/2019,2417586606,past,1877126230,1577732354
443,7/13/2019,1713756660,past,1874199952,1580787707
444,7/14/2019,1678781274,past,1892177107,1599222698
445,7/15/2019,1484434318,past,1825075715,1600944751
446,7/16/2019,1244143609,past,1707740493,1573908223
447,7/17/2019,1709900164,past,1566203205,1594258315
448,7/18/2019,2081018937,past,1639655660,1620377387
449,7/19/2019,39200000,past,1311739406,1511130637
450,7/20/2019,1618642160,past,1338580974,1589803745
451,7/21/2019,2102045677,past,1510161388,1635005673
452,7/22/2019,1509561107,past,1470093576,1640678732
453,7/23/2019,1437591941,past,1341408177,1643420940
454,7/24/2019,2043982605,past,1742364698,1666265473
455,7/25/2019,1778848050,past,1774405876,1680125306
456,7/27/2019,1425706382,past,1639138017,1636270585
457,7/28/2019,1737399442,past,1684705684,1649532174
458,7/29/2019,1995225889,past,1796232474,1662874066
459,7/30/2019,1641540781,past,1715744109,1665506330
460,7/31/2019,1657721829,past,1691518865,1657395357
461,8/1/2019,1974228577,past,1801223304,1664565800
462,8/3/2019,1388135544,past,1731370524,1613093247
463,8/4/2019,1899625720,past,1712250490,1622386700
464,8/5/2019,1636498943,past,1711242123,1620272584
465,8/6/2019,1373664995,past,1654430756,1614734118
466,8/7/2019,1726771383,past,1604939317,1638865506
467,8/8/2019,1897973603,past,1706906929,1648269178
468,8/10/2019,1885622324,past,1704106250,1638499348
469,8/11/2019,2517457767,past,1880298014,1762412236
470,8/12/2019,2484880495,past,2102541114,1805724153
471,8/13/2019,1492771998,past,2055741237,1775260469
472,8/14/2019,1755629442,past,2027272405,1787563886
473,8/15/2019,2245799165,past,2099307773,1827974247
474,8/16/2019,820000,past,1595980220,1725816116
475,8/17/2019,2009369839,past,1500878089,1737342206
476,8/18/2019,2401629932,past,1682649676,1786138383
477,8/19/2019,2919349931,past,1915393773,1845235908
478,8/20/2019,250790000,past,1516391940,1758014113
479,8/21/2019,2458409900,past,2007909920,1798857569
480,8/22/2019,3767097881,past,2359455529,1904326372
481,8/24/2019,1930277381,past,2265185019,1902128812
482,8/25/2019,2271457770,past,2135606586,1946294923
483,8/26/2019,1493116163,past,2384071819,1925969446
484,8/27/2019,1621012327,past,2216592304,1925195115
485,8/28/2019,2513556272,past,1965883983,1982189679
486,8/29/2019,2645693995,past,2108967305,2028135809
487,8/31/2019,1640424330,past,1982760617,2015258346
488,9/1/2019,2317423750,past,2147622135,2036848417
489,9/2/2019,1744535666,past,2172326803,1998202312
490,9/3/2019,1881326825,past,2045880913,1968024628
491,9/4/2019,2003852478,past,1917512610,1993578652
492,9/5/2019,2585677105,past,2106563165,2035081036
493,9/7/2019,2159384323,past,2074955279,2030760293
494,9/8/2019,3074110983,past,2340870343,2184424843
495,9/9/2019,2430000,past,1965090978,2084077851
496,9/10/2019,27480000,past,1569816482,1965370354
497,9/11/2019,868430663,past,1226367194,1862824391
498,9/12/2019,1825423049,past,1159574939,1941556043
499,9/14/2019,1479008852,past,840554512.8,1892585991
500,9/15/2019,1731112634,past,1186291040,1790786728
501,9/16/2019,1238642777,past,1428523595,1756204998
502,9/17/2019,1094829831,past,1473803429,1697373601
503,9/18/2019,1402014440,past,1389121707,1692818515
504,9/19/2019,1823024163,past,1457924769,1702919107
505,9/21/2019,1691569549,past,1450016152,1661819771
506,9/22/2019,1675827617,past,1537453120,1613326452
507,9/23/2019,1352875508,past,1589062255,1598949011
508,9/24/2019,1529776552,past,1614614678,1559566651
509,9/25/2019,1563123775,past,1562634600,1550496056
510,9/26/2019,1765615162,past,1577443723,1544710473
511,9/28/2019,1383355896,past,1518949379,1513685644
512,9/29/2019,1791742983,past,1606722874,1473988938
513,9/30/2019,1523956201,past,1605558803,1442217532
514,10/1/2019,1496620231,past,1592258095,1363342994
515,10/2/2019,1761814902,past,1591498043,1451312239
516,10/3/2019,1790075892,past,1672842042,1539442034
