,date,value,flag,MA5,MA20
172,2018-09-29,1065997962.0,past,1126961633.2,1121688721.35
173,2018-09-30,1384577394.0,past,1169222991.2,1115768922.9
174,2018-10-01,1334456232.0,past,1244037181.2,1120334510.35
175,2018-10-02,1711645913.0,past,1370928339.0,1129434449.35
176,2018-10-03,1071277550.0,past,1313591010.2,1126034222.9
177,2018-10-04,1143986888.0,past,1329188795.4,1102718029.0
178,2018-10-05,64655000.0,past,1065204316.6,1101240001.2
179,2018-10-06,1125221838.0,past,1023357437.8,1070170523.5
180,2018-10-07,1224747182.0,past,925977691.6,1038801613.5
181,2018-10-08,1778082375.0,past,1067338656.6,1059082196.2
182,2018-10-09,857046757.0,past,1009950630.4,975820976.85
183,2018-10-10,1398406943.0,past,1276701019.0,1045678324.0
184,2018-10-11,1287251836.0,past,1309107018.6,1109516915.8
185,2018-10-12,3310000.0,past,1064819582.2,1107072415.8
186,2018-10-13,1541630180.0,past,1017529143.2,1141239552.6
187,2018-10-14,1192684278.0,past,1084656647.4,1137689426.6
188,2018-10-15,1107490323.0,past,1026473323.4,1134400412.55
189,2018-10-16,1314420792.0,past,1031907114.6,1152102188.05
190,2018-10-17,1073952896.0,past,1246035693.8,1151940326.65
191,2018-10-18,1293073249.0,past,1196324307.6,1148695779.4
192,2018-10-19,1560000.0,past,958099452.0,1095473881.3
193,2018-10-20,1095968499.0,past,955795087.2,1081043436.55
194,2018-10-21,1921461774.0,past,1077203283.6,1110393713.65
195,2018-10-22,1061815177.0,past,1074775739.8,1077902176.85
196,2018-10-23,1716875739.0,past,1159536237.8,1110182086.3
197,2018-10-24,1602726122.0,past,1479769462.2,1133119048.0
198,2018-10-25,1202706854.0,past,1501117133.2,1190021640.7
199,2018-10-26,62800000.0,past,1129384778.4,1136900548.8
200,2018-10-27,1516319112.0,past,1220285565.4,1151479145.3
201,2018-10-28,1438096570.0,past,1164529731.6,1134479855.05
202,2018-10-29,1346109227.0,past,1113206352.6,1158932978.55
203,2018-10-30,719967495.0,past,1016658480.8,1125011006.15
204,2018-10-31,1083585730.0,past,1220815626.8,1114827700.85
205,2018-11-01,1667531897.0,past,1251058183.8,1198038795.7
206,2018-11-02,1280000.0,past,963694869.8,1121021286.7
207,2018-11-03,1277896200.0,past,950052264.4,1125281882.8
208,2018-11-04,1637423532.0,past,1133543471.8,1151778543.25
209,2018-11-05,1720419732.0,past,1260910272.2,1172078490.25
210,2018-11-06,3078277182.0,past,1543059329.2,1272294704.55
211,2018-11-07,210280000.0,past,1584859329.2,1218155042.1
212,2018-11-08,145900000.0,past,1358460089.2,1225372042.1
213,2018-11-09,210000.0,past,1031017382.8,1170584117.15
214,2018-11-10,1383383605.0,past,963610157.4,1143680208.7
215,2018-11-11,1814184488.0,past,710791618.6,1181298674.25
216,2018-11-12,1586480712.0,past,986031761.0,1174778922.9
